Year;Month_Num;Month_Name;Stripe_Index;Date_Label;Recovery_Pct;CO2_per_Flight;Total_CO2_Mt;EUA_Price_EUR;Constant_100;Diff_Recovery;Diff_CO2;Diff_Total
2019;1;Jan;1;Jan 2019;100,0;3,418;12,38;25,09;100;21,8264;-0,0953;0,1339
2019;2;Feb;2;Feb 2019;100,0;3,351;11,38;22,65;100;21,8264;-0,1623;-0,8661
2019;3;Mar;3;Mar 2019;100,0;3,379;13,14;23,46;100;21,8264;-0,1343;0,8939
2019;4;Apr;4;Apr 2019;100,0;3,341;14,02;27,0;100;21,8264;-0,1723;1,7739
2019;5;May;5;May 2019;100,0;3,302;15,03;26,61;100;21,8264;-0,2113;2,7839
2019;6;Jun;6;Jun 2019;100,0;3,375;16,14;26,37;100;21,8264;-0,1383;3,8939
2019;7;Jul;7;Jul 2019;100,0;3,414;17,23;29,39;100;21,8264;-0,0993;4,9839
2019;8;Aug;8;Aug 2019;100,0;3,444;17,19;28,16;100;21,8264;-0,0693;4,9439
2019;9;Sep;9;Sep 2019;100,0;3,373;16,14;26,76;100;21,8264;-0,1403;3,8939
2019;10;Oct;10;Oct 2019;100,0;3,394;15,38;25,62;100;21,8264;-0,1193;3,1339
2019;11;Nov;11;Nov 2019;100,0;3,369;12,45;25,28;100;21,8264;-0,1443;0,2039
2019;12;Dec;12;Dec 2019;100,0;3,479;12,77;25,99;100;21,8264;-0,0343;0,5239
2020;1;Jan;13;Jan 2020;99,2;3,412;12,33;25,0;100;21,0264;-0,1013;0,0839
2020;2;Feb;14;Feb 2020;100,9;3,359;11,55;24,6;100;22,7264;-0,1543;-0,6961
2020;3;Mar;15;Mar 2020;57,8;3,519;8,03;20,47;100;-20,3736;0,0057;-4,2161
2020;4;Apr;16;Apr 2020;10,0;4,164;2,02;20,88;100;-68,1736;0,6507;-10,2261
2020;5;May;17;May 2020;11,5;4,252;2,56;20,84;100;-66,6736;0,7387;-9,6861
2020;6;Jun;18;Jun 2020;18,3;3,185;3,02;24,31;100;-59,8736;-0,3283;-9,2261
2020;7;Jul;19;Jul 2020;38,2;2,852;5,57;28,38;100;-39,9736;-0,6613;-6,6761
2020;8;Aug;20;Aug 2020;48,1;2,903;6,97;27,74;100;-30,0736;-0,6103;-5,2761
2020;9;Sep;21;Sep 2020;44,2;2,924;6,26;28,5;100;-33,9736;-0,5893;-5,9861
2020;10;Oct;22;Oct 2020;41,4;3,067;5,83;25,69;100;-36,7736;-0,4463;-6,4161
2020;11;Nov;23;Nov 2020;34,8;3,37;4,5;26,99;100;-43,3736;-0,1433;-7,7461
2020;12;Dec;24;Dec 2020;37,3;3,511;4,98;31,39;100;-40,8736;-0,0023;-7,2661
2021;1;Jan;25;Jan 2021;33,4;3,607;4,5;33,75;100;-44,7736;0,0937;-7,7461
2021;2;Feb;26;Feb 2021;29,9;3,476;3,72;38,23;100;-48,2736;-0,0373;-8,5261
2021;3;Mar;27;Mar 2021;32,0;3,363;4,42;41,3;100;-46,1736;-0,1503;-7,8261
2021;4;Apr;28;Apr 2021;32,2;3,317;4,76;45,61;100;-45,9736;-0,1963;-7,4861
2021;5;May;29;May 2021;35,0;3,285;5,96;52,82;100;-43,1736;-0,2283;-6,2861
2021;6;Jun;30;Jun 2021;47,4;3,102;7,73;53,33;100;-30,7736;-0,4113;-4,5161
2021;7;Jul;31;Jul 2021;63,8;3,119;10,79;53,79;100;-14,3736;-0,3943;-1,4561
2021;8;Aug;32;Aug 2021;69,7;3,191;11,85;57,0;100;-8,4736;-0,3223;-0,3961
2021;9;Sep;33;Sep 2021;68,9;3,139;11,1;61,64;100;-9,2736;-0,3743;-1,1461
2021;10;Oct;34;Oct 2021;72,0;3,278;11,48;59,87;100;-6,1736;-0,2353;-0,7661
2021;11;Nov;35;Nov 2021;76,1;3,32;9,97;66,44;100;-2,0736;-0,1933;-2,2761
2021;12;Dec;36;Dec 2021;77,0;3,516;10,58;80,33;100;-1,1736;0,0027;-1,6661
2022;1;Jan;37;Jan 2022;66,3;3,567;9,34;84,59;100;-11,8736;0,0537;-2,9061
2022;2;Feb;38;Feb 2022;69,1;3,469;8,78;91,18;100;-9,0736;-0,0443;-3,4661
2022;3;Mar;39;Mar 2022;76,2;3,507;11,03;75,02;100;-1,9736;-0,0063;-1,2161
2022;4;Apr;40;Apr 2022;83,0;3,535;12,81;81,28;100;4,8264;0,0217;0,5639
2022;5;May;41;May 2022;87,0;3,439;14,25;85,78;100;8,8264;-0,0743;2,0039
2022;6;Jun;42;Jun 2022;87,0;3,443;14,99;84,14;100;8,8264;-0,0703;2,7439
2022;7;Jul;43;Jul 2022;87,4;3,521;16,31;81,71;100;9,2264;0,0077;4,0639
2022;8;Aug;44;Aug 2022;88,4;3,536;16,35;87,74;100;10,2264;0,0227;4,1039
2022;9;Sep;45;Sep 2022;87,4;3,498;15,35;70,4;100;9,2264;-0,0153;3,1039
2022;10;Oct;46;Oct 2022;88,4;3,577;14,98;70,49;100;10,2264;0,0637;2,7339
2022;11;Nov;47;Nov 2022;86,7;3,602;12,14;76,27;100;8,5264;0,0887;-0,1061
2022;12;Dec;48;Dec 2022;87,7;3,757;12,68;86,2;100;9,5264;0,2437;0,4339
