DATE,YEAR,MONTH,EUA_PRICE_EUR
2019-01-01,2019,1,25.09
2019-02-01,2019,2,22.65
2019-03-01,2019,3,23.46
2019-04-01,2019,4,27.0
2019-05-01,2019,5,26.61
2019-06-01,2019,6,26.37
2019-07-01,2019,7,29.39
2019-08-01,2019,8,28.16
2019-09-01,2019,9,26.76
2019-10-01,2019,10,25.62
2019-11-01,2019,11,25.28
2019-12-01,2019,12,25.99
2020-01-01,2020,1,25.0
2020-02-01,2020,2,24.6
2020-03-01,2020,3,20.47
2020-04-01,2020,4,20.88
2020-05-01,2020,5,20.84
2020-06-01,2020,6,24.31
2020-07-01,2020,7,28.38
2020-08-01,2020,8,27.74
2020-09-01,2020,9,28.5
2020-10-01,2020,10,25.69
2020-11-01,2020,11,26.99
2020-12-01,2020,12,31.39
2021-01-01,2021,1,33.75
2021-02-01,2021,2,38.23
2021-03-01,2021,3,41.3
2021-04-01,2021,4,45.61
2021-05-01,2021,5,52.82
2021-06-01,2021,6,53.33
2021-07-01,2021,7,53.79
2021-08-01,2021,8,57.0
2021-09-01,2021,9,61.64
2021-10-01,2021,10,59.87
2021-11-01,2021,11,66.44
2021-12-01,2021,12,80.33
2022-01-01,2022,1,84.59
2022-02-01,2022,2,91.18
2022-03-01,2022,3,75.02
2022-04-01,2022,4,81.28
2022-05-01,2022,5,85.78
2022-06-01,2022,6,84.14
2022-07-01,2022,7,81.71
2022-08-01,2022,8,87.74
2022-09-01,2022,9,70.4
2022-10-01,2022,10,70.49
2022-11-01,2022,11,76.27
2022-12-01,2022,12,86.2
2023-01-01,2023,1,80.6
2023-02-01,2023,2,92.08
2023-03-01,2023,3,89.92
2023-04-01,2023,4,92.61
2023-05-01,2023,5,86.06
2023-06-01,2023,6,87.79
2023-07-01,2023,7,88.21
2023-08-01,2023,8,85.95
2023-09-01,2023,9,82.97
2023-10-01,2023,10,81.57
2023-11-01,2023,11,76.05
2023-12-01,2023,12,71.43
2024-01-01,2024,1,66.6
2024-02-01,2024,2,57.59
2024-03-01,2024,3,59.67
2024-04-01,2024,4,66.28
2024-05-01,2024,5,72.96
2024-06-01,2024,6,69.71
2024-07-01,2024,7,68.22
2024-08-01,2024,8,71.26
2024-09-01,2024,9,65.51
2024-10-01,2024,10,63.93
2024-11-01,2024,11,67.51
2024-12-01,2024,12,67.49
