LEVEL,AREA,YEAR,MONTH,MARKET_SEGMENT,FLIGHT_TYPE,FLIGHT_PHASE,NB_FLIGHTS,NOX_KG,SOX_KG,CO2_KG,DATE
NETWORK,ECAC,2019,1,business,D,cruise,3247,91683.56,7080.210000000021,26607299.99999994,2019-01-01
NETWORK,ECAC,2019,1,business,A,cruise,3428,69539.61999999982,6150.150000000116,23111999.999999985,2019-01-01
NETWORK,ECAC,2019,1,business,O,cruise,444,8766.930000000011,717.6799999999993,2695700.000000002,2019-01-01
NETWORK,ECAC,2019,1,business,I,cruise,35561,194880.5999999905,20022.89000000149,75402799.99999645,2019-01-01
NETWORK,ECAC,2019,1,business,O,descent,444,10.510000000000002,1.37,5100.0,2019-01-01
NETWORK,ECAC,2019,1,business,A,descent,3428,2421.839999999994,274.440000000001,1036600.0000000029,2019-01-01
NETWORK,ECAC,2019,1,business,D,descent,3247,105.15000000000002,14.509999999999986,54700.00000000001,2019-01-01
NETWORK,ECAC,2019,1,business,I,descent,35561,10418.410000000202,2069.449999999684,7848900.000000347,2019-01-01
NETWORK,ECAC,2019,1,business,D,climb,3247,7078.590000000008,391.5600000000004,1476099.9999999967,2019-01-01
NETWORK,ECAC,2019,1,business,A,climb,3428,83.88,7.079999999999999,27300.000000000004,2019-01-01
NETWORK,ECAC,2019,1,business,O,climb,444,50.24,2.6100000000000003,9900.0,2019-01-01
NETWORK,ECAC,2019,1,business,I,climb,35561,32431.96,2934.5900000000183,11085600.000000607,2019-01-01
NETWORK,ECAC,2019,1,business,D,taxi-in,3247,0.13,0.03,100.0,2019-01-01
NETWORK,ECAC,2019,1,business,A,taxi-in,3428,310.07000000000016,68.80000000000022,262899.9999999978,2019-01-01
NETWORK,ECAC,2019,1,business,I,taxi-in,35561,1143.889999999949,372.469999999982,1406399.9999999655,2019-01-01
NETWORK,ECAC,2019,1,business,D,taxi-out,3247,889.0600000000026,206.86000000000135,783600.0000000084,2019-01-01
NETWORK,ECAC,2019,1,business,O,taxi-out,444,4.09,0.91,3700.0,2019-01-01
NETWORK,ECAC,2019,1,business,A,taxi-out,3428,6.610000000000002,2.989999999999997,10699.999999999989,2019-01-01
NETWORK,ECAC,2019,1,business,I,taxi-out,35561,3777.250000000145,1508.2699999996942,5676300.0000000065,2019-01-01
NETWORK,ECAC,2019,1,cargo,A,cruise,4248,1083785.9099999983,56256.88999999991,210989200.00000066,2019-01-01
NETWORK,ECAC,2019,1,cargo,O,cruise,438,162019.13999999987,7933.639999999989,29758800.0,2019-01-01
NETWORK,ECAC,2019,1,cargo,D,cruise,4161,1715871.1799999976,70278.00999999997,263573100.0000001,2019-01-01
NETWORK,ECAC,2019,1,cargo,I,cruise,19381,1262154.8400000064,68293.81999999988,256149100.0000017,2019-01-01
NETWORK,ECAC,2019,1,cargo,O,descent,438,51.3,8.17,30500.0,2019-01-01
NETWORK,ECAC,2019,1,cargo,A,descent,4248,31677.749999999996,2184.609999999997,8196800.000000005,2019-01-01
NETWORK,ECAC,2019,1,cargo,D,descent,4161,302.2,24.1,90600.0,2019-01-01
NETWORK,ECAC,2019,1,cargo,I,descent,19381,52781.81999999999,4451.950000000005,16707600.000000006,2019-01-01
NETWORK,ECAC,2019,1,cargo,I,climb,19381,226933.12000000005,7460.96,27990699.99999998,2019-01-01
NETWORK,ECAC,2019,1,cargo,O,climb,438,699.06,23.340000000000003,87699.99999999999,2019-01-01
NETWORK,ECAC,2019,1,cargo,A,climb,4248,134.08999999999995,6.27,23800.0,2019-01-01
NETWORK,ECAC,2019,1,cargo,D,climb,4161,192127.45000000024,4335.06,16257899.999999968,2019-01-01
NETWORK,ECAC,2019,1,cargo,A,taxi-in,4248,5691.350000000001,990.6900000000009,3717799.999999999,2019-01-01
NETWORK,ECAC,2019,1,cargo,I,taxi-in,19381,6963.720000000019,1329.479999999994,4992200.000000005,2019-01-01
NETWORK,ECAC,2019,1,cargo,O,taxi-out,438,19.530000000000005,6.870000000000001,26199.999999999993,2019-01-01
NETWORK,ECAC,2019,1,cargo,A,taxi-out,4248,8.500000000000002,2.42,9299.999999999995,2019-01-01
NETWORK,ECAC,2019,1,cargo,D,taxi-out,4161,13116.43000000001,2229.1500000000024,8366000.0,2019-01-01
NETWORK,ECAC,2019,1,cargo,I,taxi-out,19381,20369.440000000017,4016.409999999997,15042100.00000003,2019-01-01
