LEVEL,AREA,YEAR,MONTH,MARKET_SEGMENT,FLIGHT_TYPE,FLIGHT_PHASE,NB_FLIGHTS,NOX_KG,SOX_KG,CO2_KG,DATE
STATE,AL,2019,1,business,D,cruise,9,24.86,1.7800000000000002,6700.0,2019-01-01
STATE,AL,2019,1,business,O,cruise,361,689.7099999999992,60.23,227799.99999999988,2019-01-01
STATE,AL,2019,1,business,A,cruise,9,2.3600000000000003,0.51,2200.0,2019-01-01
STATE,AL,2019,1,business,A,descent,9,3.0900000000000003,0.5,2000.0,2019-01-01
STATE,AL,2019,1,business,D,climb,9,11.82,0.92,3500.0,2019-01-01
STATE,AL,2019,1,business,D,taxi-out,9,1.11,0.45,1800.0000000000005,2019-01-01
STATE,AL,2019,1,cargo,D,cruise,22,2.89,2.51,9600.0,2019-01-01
STATE,AL,2019,1,cargo,A,cruise,22,1.84,1.7200000000000002,6499.999999999999,2019-01-01
STATE,AL,2019,1,cargo,O,cruise,379,9515.13,481.71,1806800.000000001,2019-01-01
STATE,AL,2019,1,cargo,A,descent,22,2.03,1.14,4300.0,2019-01-01
STATE,AL,2019,1,cargo,D,climb,22,7.44,1.6700000000000002,6300.0,2019-01-01
STATE,AL,2019,1,cargo,D,taxi-out,22,1.1,1.1,4000.0,2019-01-01
STATE,AL,2019,1,lowcost,D,cruise,370,5272.549999999999,216.04,810900.0000000002,2019-01-01
STATE,AL,2019,1,lowcost,O,cruise,2603,16318.990000000022,1049.6100000000006,3940399.9999999967,2019-01-01
STATE,AL,2019,1,lowcost,A,cruise,367,237.90000000000003,34.669999999999995,130299.99999999999,2019-01-01
STATE,AL,2019,1,lowcost,A,descent,367,451.15,40.92000000000001,153800.0,2019-01-01
STATE,AL,2019,1,lowcost,D,climb,370,2032.8200000000004,82.18,307999.99999999994,2019-01-01
STATE,AL,2019,1,lowcost,A,taxi-in,367,15.260000000000002,3.0299999999999994,11600.0,2019-01-01
STATE,AL,2019,1,lowcost,D,taxi-out,370,147.12,29.829999999999988,111500.0,2019-01-01
STATE,AL,2019,1,mainline,D,cruise,455,8225.06,310.3,1163000.0000000002,2019-01-01
STATE,AL,2019,1,mainline,A,cruise,460,400.30000000000007,52.93000000000001,198499.9999999999,2019-01-01
STATE,AL,2019,1,mainline,O,cruise,5491,67477.09999999995,3681.739999999998,13809299.999999996,2019-01-01
STATE,AL,2019,1,mainline,O,descent,5491,0.36,0.03,100.0,2019-01-01
STATE,AL,2019,1,mainline,A,descent,460,656.7599999999998,56.24999999999999,211100.00000000006,2019-01-01
STATE,AL,2019,1,mainline,D,climb,455,2850.2800000000007,106.69999999999996,400100.0,2019-01-01
STATE,AL,2019,1,mainline,O,taxi-in,5491,0.82,0.12,500.0,2019-01-01
STATE,AL,2019,1,mainline,A,taxi-in,460,63.31,12.259999999999998,46100.0,2019-01-01
STATE,AL,2019,1,mainline,D,taxi-out,455,188.0399999999999,36.90999999999999,137499.99999999997,2019-01-01
STATE,AL,2019,1,other,D,cruise,19,250.53999999999996,10.11,38200.0,2019-01-01
STATE,AL,2019,1,other,O,cruise,650,5842.180000000002,341.3100000000001,1282000.000000001,2019-01-01
STATE,AL,2019,1,other,A,cruise,10,7.44,0.97,3700.0,2019-01-01
STATE,AL,2019,1,other,A,descent,10,10.2,0.93,3600.0,2019-01-01
STATE,AL,2019,1,other,O,descent,650,0.59,0.06,200.0,2019-01-01
STATE,AL,2019,1,other,D,climb,19,93.25,3.71,14100.0,2019-01-01
STATE,AL,2019,1,other,O,climb,650,2.72,0.65,2500.0,2019-01-01
STATE,AL,2019,1,other,A,taxi-in,10,0.36,0.07,300.0,2019-01-01
STATE,AL,2019,1,other,D,taxi-out,19,6.82,1.3600000000000003,4999.999999999998,2019-01-01
STATE,AL,2019,1,regional,D,cruise,113,422.48,45.11,169100.0,2019-01-01
STATE,AL,2019,1,regional,O,cruise,192,321.54,35.79,134400.0,2019-01-01
STATE,AL,2019,1,regional,A,cruise,111,22.76,7.209999999999999,27200.0,2019-01-01
STATE,AL,2019,1,regional,A,descent,111,44.34,6.740000000000001,25100.0,2019-01-01
STATE,AL,2019,1,regional,D,climb,113,129.44,12.720000000000002,48000.00000000001,2019-01-01
STATE,AL,2019,1,regional,A,taxi-in,111,1.9599999999999995,1.14,4400.0,2019-01-01
STATE,AL,2019,1,regional,D,taxi-out,113,15.62,5.93,21499.999999999996,2019-01-01
STATE,AM,2019,1,business,O,cruise,124,392.41,29.860000000000003,112300.0,2019-01-01
STATE,AM,2019,1,business,A,cruise,15,13.810000000000002,1.7400000000000004,6500.000000000001,2019-01-01
STATE,AM,2019,1,business,D,cruise,18,105.74000000000002,5.600000000000001,20899.999999999996,2019-01-01
STATE,AM,2019,1,business,A,descent,15,0.19,0.01,0.0,2019-01-01
STATE,AM,2019,1,business,D,climb,18,19.25,1.02,3900.000000000001,2019-01-01
STATE,AM,2019,1,business,D,taxi-out,18,3.63,0.8500000000000003,3300.0000000000014,2019-01-01
STATE,AM,2019,1,cargo,D,cruise,7,101.59,7.5,28200.0,2019-01-01
STATE,AM,2019,1,cargo,A,cruise,7,32.67,5.830000000000001,22000.000000000004,2019-01-01
STATE,AM,2019,1,cargo,O,cruise,582,18183.24,820.1399999999998,3077100.000000001,2019-01-01
STATE,AM,2019,1,cargo,A,descent,7,1.49,0.25,900.0,2019-01-01
STATE,AM,2019,1,cargo,D,climb,7,52.02,2.84,10700.0,2019-01-01
STATE,AM,2019,1,cargo,D,taxi-out,7,8.42,2.55,9700.0,2019-01-01
STATE,AM,2019,1,lowcost,A,cruise,101,314.87,32.19,120900.0,2019-01-01
STATE,AM,2019,1,lowcost,O,cruise,587,6930.77,436.37000000000006,1636399.9999999995,2019-01-01
STATE,AM,2019,1,lowcost,D,cruise,103,2380.49,89.82999999999998,336700.0,2019-01-01
STATE,AM,2019,1,lowcost,A,descent,101,3.26,0.3,1100.0,2019-01-01
STATE,AM,2019,1,lowcost,D,climb,103,373.67,13.07,48900.0,2019-01-01
STATE,AM,2019,1,lowcost,A,taxi-in,101,1.08,0.24,900.0,2019-01-01
STATE,AM,2019,1,lowcost,D,taxi-out,103,53.58999999999999,10.25,38600.0,2019-01-01
STATE,AM,2019,1,mainline,A,cruise,652,951.9599999999998,124.36,466699.9999999999,2019-01-01
STATE,AM,2019,1,mainline,O,cruise,3301,78579.08999999992,3663.2499999999977,13739400.00000001,2019-01-01
STATE,AM,2019,1,mainline,D,cruise,661,16890.000000000004,643.2200000000001,2412000.0,2019-01-01
STATE,AM,2019,1,mainline,A,descent,652,23.809999999999995,1.95,7199.999999999998,2019-01-01
STATE,AM,2019,1,mainline,D,climb,661,2762.930000000001,91.25999999999998,342299.9999999999,2019-01-01
STATE,AM,2019,1,mainline,A,taxi-in,652,7.87,1.5,5700.0,2019-01-01
STATE,AM,2019,1,mainline,D,taxi-out,661,393.48,72.64999999999999,270900.0000000001,2019-01-01
STATE,AM,2019,1,other,O,cruise,241,3750.009999999999,192.91000000000005,724100.0000000001,2019-01-01
STATE,AM,2019,1,other,A,cruise,63,58.72000000000001,8.149999999999999,30499.999999999996,2019-01-01
STATE,AM,2019,1,other,D,cruise,68,1135.27,44.33000000000001,166500.0,2019-01-01
STATE,AM,2019,1,other,A,descent,63,1.42,0.12,500.0,2019-01-01
STATE,AM,2019,1,other,D,climb,68,276.85,9.62,36300.0,2019-01-01
STATE,AM,2019,1,other,D,taxi-out,68,35.89,7.239999999999999,27200.000000000004,2019-01-01
STATE,AM,2019,1,regional,O,cruise,81,58.94,7.06,26500.0,2019-01-01
STATE,AM,2019,1,regional,A,cruise,96,67.99999999999999,14.310000000000002,53900.00000000001,2019-01-01
STATE,AM,2019,1,regional,D,cruise,95,771.22,55.53999999999999,208400.0,2019-01-01
STATE,AM,2019,1,regional,A,descent,96,2.41,0.38,1300.0,2019-01-01
STATE,AM,2019,1,regional,D,climb,95,118.12,7.299999999999999,27299.999999999996,2019-01-01
STATE,AM,2019,1,regional,A,taxi-in,96,1.91,0.53,1800.0,2019-01-01
STATE,AM,2019,1,regional,D,taxi-out,95,25.239999999999995,6.98,26000.0,2019-01-01
