,Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Africa Eastern and Southern,AFE,"Air transport, passengers carried",IS.AIR.PSGR,3418300.0,3775300.0,4074500.0,4808000.0,5126100.0,5333100.0,6040400.0,5798900.0,6195600.0,7515200.0,8614600.0,9063100.0,9088900.0,8973900.0,9474400.0,9385300.0,8825600.0,9837400.0,10931600.0,11110800.0,11257400.0,10802900.0,10302700.0,11082400.0,11775500.0,12153400.0,13178400.0,13456500.0,13234700.0,14038500.0,14963609.0,14546112.0,14462573.0,15802323.0,17562611.0,20661751.0,22039609.0,23295972.0,23988552.0,23800085.0,30374164.935204,33507824.2724355,35838679.0148015,35112457.818,36350758.9454475,39154692.0,41553429.0,45423814.08,52613964.0777057,54851421.2852037,19166036.418,24057585.264,35997520.663,46177720.421
2,Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,84700.0,97400.0,104900.0,96600.0,96100.0,99000.0,101700.0,111200.0,100400.0,93000.0,76200.0,129100.0,181000.0,200200.0,220400.0,225500.0,184400.0,217900.0,201000.0,220000.0,241400.0,212300.0,212300.0,197000.0,238400.0,250400.0,255600.0,89600.0,52700.0,140200.0,149705.0,,,,,,,,,,1999127.0,2279341.17952861,1737962.12640656,2044188.0,2209428.0,1929907.0,1917924.0,1647425.0,1125367.0,1066747.35619248,449041.025,293212.994,1157419.0,1031379.0
3,Africa Western and Central,AFW,"Air transport, passengers carried",IS.AIR.PSGR,1167000.0,1238100.0,1285700.0,1453300.0,1685700.0,1987500.0,2540000.0,2962100.0,3543900.0,3776100.0,4404900.0,5147600.0,5190100.0,5423600.0,5311800.0,5794300.0,5265300.0,4485000.0,3930700.0,3602400.0,3551000.0,3405900.0,3209800.0,2840600.0,3167100.0,3215200.0,2855900.0,3020900.0,3007600.0,3083500.0,2949248.0,2627404.0,2072438.0,2081206.0,2604956.0,,,,,,7817344.20269785,9140452.12859853,9570161.78756697,8677884.0,8030237.16965056,8696300.0,8129874.0,8837017.0,12337766.2823005,11384912.6350313,5328945.184,7425487.428,9947971.737,10779122.171
4,Angola,AGO,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,155400.0,282700.0,308000.0,546100.0,635200.0,801100.0,890500.0,952500.0,689600.0,894200.0,727000.0,746000.0,750000.0,509800.0,451500.0,456000.0,440000.0,333500.0,519000.0,552500.0,585000.0,555000.0,552900.0,293800.0,235448.0,193317.0,189619.0,198253.0,222032.0,239795.0,262666.0,277361.0,283887.0,274869.0,1010194.0,987798.0,1132424.0,1321872.0,1409952.0,1244491.0,1482546.0,1375523.0,1516628.0,1436959.0,356695.0,311488.0,895730.0,1321412.0
7,Arab World,ARB,"Air transport, passengers carried",IS.AIR.PSGR,4209300.0,4737000.0,5625600.0,6569400.0,8227100.0,10178000.0,13313000.0,16062400.0,18669700.0,21838000.0,24725900.0,25883200.0,27570500.0,29098800.0,30019300.0,29988100.0,27905400.0,29113000.0,30660000.0,31525100.0,31484000.0,28835100.0,33877100.0,34017400.0,35968300.0,35918200.0,38024200.0,39692100.0,40403700.0,43269900.0,45723758.0,46769231.0,49871837.0,52465002.0,60950501.0,43608649.0,47875367.0,51722644.0,53542019.0,95372047.0,126796491.879128,135837641.389789,152014159.66127,166209279.140784,181627311.076906,195957046.0,214318723.0,223496214.05,232670166.889823,246284712.901893,78203120.459,100893015.318,184943254.355,251729970.991
8,United Arab Emirates,ARE,"Air transport, passengers carried",IS.AIR.PSGR,,,,,127500.0,173000.0,240100.0,299800.0,374500.0,456500.0,521500.0,577800.0,569800.0,601800.0,674200.0,717500.0,935200.0,1093000.0,1329500.0,1481700.0,1685900.0,2041800.0,2508800.0,2936300.0,3368700.0,3550500.0,4063500.0,4720400.0,5263700.0,5840300.0,6893085.0,7675845.0,9667005.0,11609840.0,14314326.0,,,,,31761631.0,44948143.8494121,50342891.8028694,59948766.6976478,68151865.0,75608196.0,84343562.0,91763598.0,95306195.0,95758342.0,93995208.09,26116897.0,28422616.0,68465859.0,91062293.0
9,Argentina,ARG,"Air transport, passengers carried",IS.AIR.PSGR,2332000.0,2218600.0,2358500.0,2312700.0,2943500.0,3299200.0,3293600.0,3884100.0,3946700.0,5023500.0,5588500.0,4890100.0,4595900.0,4399600.0,5163600.0,4713200.0,5034700.0,5405800.0,5068800.0,4748400.0,5369100.0,4545900.0,5251400.0,5104500.0,6260700.0,6641700.0,7913000.0,8599800.0,8446500.0,9191900.0,8915627.0,5808770.0,5662905.0,6036360.0,6795484.0,6938436.0,6611915.0,7036784.0,6147290.0,5694547.0,9025035.31187357,8590839.84977289,9375669.73963746,11951276.8223926,12121912.818,14245183.0,15076354.0,16749271.0,18084553.0,19461377.0,3680874.0,6708097.0,16302525.0,21057811.0
12,Antigua and Barbuda,ATG,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,389000.0,376800.0,385000.0,420000.0,500000.0,600000.0,582000.0,700000.0,740000.0,755000.0,870000.0,913500.0,955000.0,1000000.0,1050000.0,1098000.0,1250000.0,1245200.0,1371300.0,1426114.0,1369069.0,1286925.0,1428487.0,714000.0,778260.0,754912.0,800207.0,813010.0,747969.0,1554309.0,1424420.15538991,1310276.41341743,1218000.0,1216152.0,1039810.0,1042929.0,590517.0,580174.156834825,526333.995080553,356.0,40633.0,35515.2,
13,Australia,AUS,"Air transport, passengers carried",IS.AIR.PSGR,7318700.0,7326600.0,7795600.0,9384600.0,10664700.0,11055100.0,10864300.0,11306500.0,12122300.0,13022500.0,13648800.0,13219500.0,13187900.0,12601500.0,13236800.0,14412100.0,15497300.0,16880200.0,18816300.0,15114300.0,17553400.0,21860100.0,23886600.0,26929300.0,26888500.0,28831400.0,30075100.0,30953500.0,30185700.0,31579700.0,32577569.0,33477398.0,39021581.0,41386432.0,41596552.0,44657324.0,46951775.0,48728837.0,51488427.0,50026967.0,60640913.0,63360310.3377656,66355274.0,68197955.0,68123237.6693167,69779346.0,72446421.0,74257326.0,75667645.0347507,76850596.719,23346254.0,24572955.0,55739422.457,68958577.0
14,Austria,AUT,"Air transport, passengers carried",IS.AIR.PSGR,511400.0,582100.0,706600.0,830900.0,840800.0,912100.0,1060800.0,1136600.0,1238900.0,1301600.0,1284500.0,1358100.0,1447600.0,1498400.0,1514000.0,1708000.0,1640400.0,1879700.0,1964600.0,2283800.0,2532100.0,2605700.0,3024200.0,3296900.0,3747900.0,4265400.0,4718600.0,5153900.0,5871500.0,6056600.0,6641875.0,6550376.0,7070344.0,6902780.0,7619372.0,8037890.0,8785116.0,9140909.0,9140680.0,8520740.0,13493793.0,14088251.6640568,14518841.0529716,15037454.0,15210489.0,14718641.0,14724774.0,16171640.0,12935505.0,46476602.0,13285414.0,18901048.0,40099423.0,46040215.0
