,APT_NAME,FLT_TOT_1
12,Amsterdam - Schiphol,2986209
99,Frankfurt,2797360
175,London - Heathrow,2784721
187,Madrid - Barajas,2506312
24,Barcelona,2020304
210,Munich,2017753
234,Paris-Charles-de-Gaulle,1846244
343,iGA Istanbul Airport,1712748
258,Rome - Fiumicino,1712326
342,Zürich,1540129
21,Athens,1523189
327,Vienna,1509345
174,London - Gatwick,1476330
79,Copenhagen - Kastrup,1457296
87,Dublin,1423810
223,Oslo - Gardermoen,1411360
229,Palma de Mallorca,1399150
167,Lisbon,1367237
202,Milan - Malpensa,1323695
18,Antalya,1292474
55,Brussels,1233495
295,Stockholm - Arlanda,1206987
177,London - Stansted,1196891
126,Istanbul,1183148
193,Manchester,1116911
