Year,Country,AI_Investment_BillionUSD,Automation_Rate_Percent,Employment_Rate_Percent,Average_Salary_USD,Productivity_Index,Reskilling_Investment_MillionUSD,AI_Policy_Index,Job_Displacement_Million,Job_Creation_Million,AI_Readiness_Score
2015,United States,52.46,10.75,65.5,38392.64,65.78,709.03,0.64,0.19,0.14,47.87
2016,United States,60.64,11.64,65.25,39371.74,67.02,815.38,0.75,0.16,0.85,43.85
2017,United States,66.11,12.46,64.93,40772.29,68.51,921.74,0.51,0.17,1.23,37.13
2018,United States,72.45,13.35,64.84,43974.92,71.09,1028.09,0.69,0.27,0.76,42.28
2019,United States,79.11,14.65,64.55,43745.39,69.89,1134.45,0.57,0.25,0.85,43.95
2020,United States,84.92,15.12,63.05,46695.82,74.53,1240.8,0.66,0.34,1.59,51.47
2021,United States,89.44,16.02,64.22,45248.01,73.64,1347.16,0.72,0.15,0.88,48.62
2022,United States,96.0,18.6,63.94,51724.35,77.1,1453.51,0.52,0.11,0.21,49.0
2023,United States,104.62,19.48,62.05,45217.73,76.07,1559.86,0.37,0.05,1.12,41.24
2024,United States,111.07,20.25,61.31,50198.31,75.64,1666.22,0.76,0.37,2.59,51.52
2025,United States,117.59,20.73,61.93,50995.5,75.98,1772.57,0.39,0.27,3.22,40.98
2015,China,71.55,12.61,68.44,26787.83,47.65,554.82,0.76,0.06,2.01,43.18
2016,China,81.08,13.76,68.0,27473.52,49.37,638.04,0.81,0.31,0.88,37.98
2017,China,88.08,14.55,67.55,29242.77,49.66,721.27,0.63,0.19,1.21,35.8
2018,China,96.28,15.41,66.99,29174.31,51.9,804.49,0.46,0.37,2.79,33.64
2019,China,106.42,16.29,67.3,29049.43,53.6,887.71,0.81,0.21,0.37,41.61
2020,China,116.69,17.09,67.22,31433.32,56.59,970.93,0.72,0.33,1.01,45.26
2021,China,123.16,18.93,66.1,32585.78,54.09,1054.16,0.43,0.4,1.35,33.82
2022,China,130.48,19.86,65.62,30631.44,57.52,1137.38,0.7,0.1,2.79,42.48
2023,China,142.7,19.45,66.02,31803.42,61.57,1220.6,0.42,0.43,1.32,40.69
2024,China,150.85,21.81,65.21,33358.89,57.32,1303.83,0.38,0.2,3.37,41.69
2025,China,159.76,23.73,64.51,32821.58,58.95,1387.05,0.78,0.54,3.03,41.64
2015,India,5.4,15.97,73.0,57696.49,47.72,630.34,0.76,0.1,0.12,37.73
2016,India,7.13,17.06,72.6,60320.33,49.24,724.89,0.8,0.25,0.03,40.58
2017,India,7.73,17.76,72.01,61365.17,51.14,819.44,0.78,0.23,0.14,42.25
2018,India,8.29,19.23,72.14,61284.54,52.26,913.99,0.68,0.1,0.23,45.46
2019,India,12.0,19.76,72.18,68739.49,53.09,1008.54,0.53,0.2,0.31,36.47
2020,India,9.86,21.08,70.59,69489.91,55.0,1103.09,0.72,0.07,0.19,47.89
2021,India,10.58,22.01,70.22,72313.22,57.06,1197.64,0.46,0.18,0.26,41.72
2022,India,14.33,24.12,70.52,71850.5,59.19,1292.2,0.81,0.4,0.31,49.63
2023,India,15.26,23.45,70.5,68229.31,59.42,1386.75,0.59,0.33,0.15,43.25
2024,India,12.66,23.3,68.98,73692.93,57.63,1481.3,0.52,0.32,0.3,37.61
2025,India,15.87,24.31,70.84,78432.98,62.04,1575.85,0.8,0.59,0.26,45.71
2015,Germany,66.89,10.19,76.12,66888.36,51.91,239.93,0.72,0.25,1.7,41.45
2016,Germany,73.23,11.06,75.87,68728.28,53.35,275.92,0.74,0.09,2.1,42.85
2017,Germany,81.69,12.28,75.46,70558.12,54.48,311.91,0.79,0.24,0.2,38.21
2018,Germany,87.55,12.64,74.75,75137.65,56.05,347.9,0.6,0.16,0.6,38.15
2019,Germany,96.84,14.38,74.55,72603.07,57.11,383.89,0.46,0.23,1.56,40.32
2020,Germany,105.77,14.52,75.01,80022.76,57.01,419.88,0.7,0.22,1.36,42.88
2021,Germany,112.85,16.3,73.22,79563.61,62.52,455.87,0.62,0.37,0.84,37.77
2022,Germany,119.3,15.85,74.52,85846.63,59.31,491.86,0.73,0.02,2.96,40.98
2023,Germany,127.26,18.82,73.01,91676.74,64.61,527.85,0.53,0.38,1.26,38.23
2024,Germany,137.67,20.3,71.64,86380.09,63.59,563.84,0.5,0.47,3.58,40.25
2025,Germany,145.56,21.21,73.81,98377.12,65.95,599.83,0.77,0.44,1.6,51.09
